start_time,close,datetime,exchange_whale_ratio,coinbase_premium_index,taker_buy_sell_ratio,netflow
1664708400000,19192.36562956,2022-10-02 11:00:00,0.83267147,-0.00948291,1.08453346,-348.59680008
1664712000000,19159.72025981,2022-10-02 12:00:00,0.60797493,0.00501061,1.03479621,-331.57514737
1664715600000,19162.67756865,2022-10-02 13:00:00,0.41336326,-0.00537506,1.06493763,-55.51994719000001
1664719200000,19105.19286243,2022-10-02 14:00:00,0.58166366,-0.00261717,0.76109841,-296.10071519999997
1664722800000,19145.42211298,2022-10-02 15:00:00,0.74738702,0.011074,1.23107285,44.61865418999999
1664726400000,19201.94393773,2022-10-02 16:00:00,0.86931514,0.00578082,0.98563504,313.48753118
1664730000000,19198.11991329,2022-10-02 17:00:00,0.2638435,0.00286515,1.15228816,-102.07873953999999
1664733600000,19220.65811677,2022-10-02 18:00:00,0.81687042,0.01092683,0.99217882,-189.41752636000004
1664737200000,19262.18728814,2022-10-02 19:00:00,0.66780039,0.02040432,1.09341224,-168.14057681000003
1664740800000,19235.87801412,2022-10-02 20:00:00,0.50717986,0.02433497,0.95135992,40.69929309
1664744400000,19199.13866243,2022-10-02 21:00:00,0.8018556,0.00385486,0.92499961,87.05470752
1664748000000,19171.1401302,2022-10-02 22:00:00,0.59567092,0.00260815,0.92106472,63.39415084000001
1664751600000,19057.11919363,2022-10-02 23:00:00,0.75190702,0.01243651,0.85669703,-499.84850593999994
1664755200000,19092.59211644,2022-10-03 00:00:00,0.75991441,0.00618085,1.03053797,61.06203063999999
1664758800000,19225.30556831,2022-10-03 01:00:00,0.62570246,0.00967578,1.16100145,-88.89026229000001
1664762400000,19140.22963186,2022-10-03 02:00:00,0.73086927,0.00297818,0.90027583,28.64121856
1664766000000,19172.22099081,2022-10-03 03:00:00,0.93725158,0.009234,1.28068033,424.30407299
1664769600000,19098.16750235,2022-10-03 04:00:00,0.53344772,0.00398011,0.96084872,82.14866814999999
1664773200000,19246.60979049,2022-10-03 05:00:00,0.79780604,0.001455,1.13955787,298.12628471000005
1664776800000,19198.55474811,2022-10-03 06:00:00,0.56508943,0.00156279,1.1160568,-209.1552749
1664780400000,19199.12296327,2022-10-03 07:00:00,0.47841347,0.00380253,0.9742138,3.123763530000005
