datetime,actual_position,predicted_position,regime,close_price,daily_pnl,cumu_pnl
2025-01-19 23:00:00,Neutral,Neutral,1,101233.33112995,-0.0,-0.16463195127283198
2025-01-20 00:00:00,Neutral,Neutral,1,99675.14777823,-0.0,-0.16463195127283198
2025-01-20 01:00:00,Neutral,Neutral,1,100545.68953446,0.0,-0.16463195127283198
2025-01-20 02:00:00,Neutral,Neutral,1,101801.03878964,0.0,-0.16463195127283198
2025-01-20 03:00:00,Neutral,Neutral,1,101798.37192568,-0.0,-0.16463195127283198
2025-01-20 04:00:00,Neutral,Neutral,1,102152.43512929,0.0,-0.16463195127283198
2025-01-20 05:00:00,Neutral,Neutral,1,102258.88623295,0.0,-0.16463195127283198
2025-01-20 06:00:00,Neutral,Neutral,1,107324.19224545,0.0,-0.16463195127283198
2025-01-20 07:00:00,Neutral,Neutral,1,106967.45277781,-0.0,-0.16463195127283198
2025-01-20 08:00:00,Neutral,Neutral,1,108203.087695,0.0,-0.16463195127283198
2025-01-20 09:00:00,Neutral,Neutral,1,107998.71110992,-0.0,-0.16463195127283198
2025-01-20 10:00:00,Neutral,Neutral,1,107870.11856497,-0.0,-0.16463195127283198
2025-01-20 11:00:00,Neutral,Neutral,1,108101.85608123,0.0,-0.16463195127283198
2025-01-20 12:00:00,Neutral,Neutral,1,106806.22744401,-0.0,-0.16463195127283198
2025-01-20 13:00:00,Neutral,Short,1,107872.96210747,-0.0006,-0.16523195127283197
2025-01-20 14:00:00,Neutral,Short,1,107735.46870793,0.0012745862990487522,-0.16395736497378322
2025-01-20 15:00:00,Neutral,Short,1,104861.87263048,0.026672702239225465,-0.13728466273455775
2025-01-20 16:00:00,Neutral,Short,1,106528.41795091,-0.015892767109955352,-0.1531774298445131
2025-01-20 17:00:00,Neutral,Short,1,102850.59535324,0.03452433320998727,-0.11865309663452583
2025-01-20 18:00:00,Neutral,Short,1,103872.2033695,-0.00993293245169169,-0.12858602908621752
2025-01-20 19:00:00,Neutral,Short,1,103595.66311413,0.00266231240311976,-0.12592371668309776
2025-01-20 20:00:00,Neutral,Short,1,103527.84047078,0.0006546861259557613,-0.125269030557142
2025-01-20 21:00:00,Neutral,Short,1,102519.04082141,0.009744235413224112,-0.11552479514391789
2025-01-20 22:00:00,Neutral,Short,1,103509.00903279,-0.009656432633861067,-0.12518122777777896
2025-01-20 23:00:00,Neutral,Short,1,102198.02755249,0.012665385289165387,-0.11251584248861357
2025-01-21 00:00:00,Neutral,Short,1,101066.94272672,0.011067579804209804,-0.10144826268440377
2025-01-21 01:00:00,Neutral,Short,1,101382.32119994,-0.0031204908816997445,-0.10456875356610351
2025-01-21 02:00:00,Neutral,Short,1,102407.83508471,-0.010115312735319515,-0.11468406630142303
2025-01-21 03:00:00,Neutral,Short,1,102819.72453587,-0.004022050176329728,-0.11870611647775275
2025-01-21 04:00:00,Neutral,Short,1,102288.0462995,0.005170975109785703,-0.11353514136796705
2025-01-21 05:00:00,Neutral,Short,1,101291.0990716,0.009746468565651756,-0.1037886728023153
2025-01-21 06:00:00,Neutral,Short,1,102109.28061562,-0.008077526569651106,-0.1118661993719664
2025-01-21 07:00:00,Neutral,Short,1,101932.23139618,0.0017339189775166242,-0.11013228039444978
2025-01-21 08:00:00,Neutral,Short,1,102364.40447771,-0.004239807915616733,-0.11437208831006651
2025-01-21 09:00:00,Neutral,Short,1,102608.55684341,-0.0023851295471870593,-0.11675721785725357
2025-01-21 10:00:00,Neutral,Short,1,103068.56316336,-0.004483118504941208,-0.12124033636219478
2025-01-21 11:00:00,Neutral,Short,1,103728.69809904,-0.0064048136058103555,-0.12764514996800513
2025-01-21 12:00:00,Neutral,Short,1,104404.72333978,-0.006517244052311577,-0.1341623940203167
2025-01-21 13:00:00,Neutral,Short,1,104365.42892242,0.0003763662802124257,-0.13378602774010429
2025-01-21 14:00:00,Neutral,Short,1,103185.92323057,0.011301689688132166,-0.12248433805197212
2025-01-21 15:00:00,Neutral,Short,1,103871.45600894,-0.006643665694962886,-0.129128003746935
2025-01-21 16:00:00,Neutral,Neutral,1,104918.58929372,-0.010681049452987933,-0.13980905319992293
2025-01-21 17:00:00,Neutral,Neutral,1,106183.03802013,0.0,-0.13980905319992293
2025-01-21 18:00:00,Neutral,Neutral,1,106870.06432924,0.0,-0.13980905319992293
2025-01-21 19:00:00,Neutral,Neutral,1,107033.85068488,0.0,-0.13980905319992293
2025-01-21 20:00:00,Neutral,Neutral,1,106126.16196328,-0.0,-0.13980905319992293
2025-01-21 21:00:00,Neutral,Neutral,1,106800.66282198,0.0,-0.13980905319992293
2025-01-21 22:00:00,Neutral,Neutral,1,106025.3871579,-0.0,-0.13980905319992293
2025-01-21 23:00:00,Neutral,Neutral,1,106164.71970923,0.0,-0.13980905319992293
2025-01-22 00:00:00,Neutral,Neutral,1,105952.48799608,-0.0,-0.13980905319992293
2025-01-22 01:00:00,Neutral,Neutral,1,105792.62741659,-0.0,-0.13980905319992293
2025-01-22 02:00:00,Neutral,Neutral,1,105592.42097891,-0.0,-0.13980905319992293
2025-01-22 03:00:00,Neutral,Neutral,1,105616.45563661,0.0,-0.13980905319992293
2025-01-22 04:00:00,Neutral,Neutral,1,105563.59832938,-0.0,-0.13980905319992293
2025-01-22 05:00:00,Neutral,Neutral,1,105687.07166111,0.0,-0.13980905319992293
2025-01-22 06:00:00,Neutral,Neutral,1,105374.85302926,-0.0,-0.13980905319992293
2025-01-22 07:00:00,Neutral,Neutral,1,105073.52132271,-0.0,-0.13980905319992293
2025-01-22 08:00:00,Neutral,Neutral,1,105257.79060792,0.0,-0.13980905319992293
2025-01-22 09:00:00,Neutral,Neutral,1,104985.06261461,-0.0,-0.13980905319992293
2025-01-22 10:00:00,Neutral,Neutral,2,105113.42857886,0.0,-0.13980905319992293
2025-01-22 11:00:00,Neutral,Neutral,2,105063.56660986,-0.0,-0.13980905319992293
2025-01-22 12:00:00,Neutral,Neutral,2,105281.73967308,0.0,-0.13980905319992293
2025-01-22 13:00:00,Neutral,Neutral,2,104035.01838757,-0.0,-0.13980905319992293
2025-01-22 14:00:00,Neutral,Neutral,2,104391.09429978,0.0,-0.13980905319992293
2025-01-22 15:00:00,Neutral,Neutral,2,104177.04858057,-0.0,-0.13980905319992293
2025-01-22 16:00:00,Neutral,Neutral,2,103726.4883438,-0.0,-0.13980905319992293
2025-01-22 17:00:00,Neutral,Neutral,2,104382.58490837,0.0,-0.13980905319992293
2025-01-22 18:00:00,Neutral,Neutral,2,103886.58570477,-0.0,-0.13980905319992293
2025-01-22 19:00:00,Neutral,Neutral,2,104627.54568477,0.0,-0.13980905319992293
2025-01-22 20:00:00,Neutral,Neutral,2,104310.59994471,-0.0,-0.13980905319992293
2025-01-22 21:00:00,Neutral,Neutral,2,104062.44867772,-0.0,-0.13980905319992293
2025-01-22 22:00:00,Neutral,Neutral,2,103862.63551387,-0.0,-0.13980905319992293
2025-01-22 23:00:00,Neutral,Neutral,2,103659.69284485,-0.0,-0.13980905319992293
2025-01-23 00:00:00,Neutral,Neutral,2,103266.65556581,-0.0,-0.13980905319992293
2025-01-23 01:00:00,Neutral,Neutral,2,102878.71227394,-0.0,-0.13980905319992293
2025-01-23 02:00:00,Neutral,Neutral,1,102594.53418909,-0.0,-0.13980905319992293
2025-01-23 03:00:00,Neutral,Neutral,1,102389.57100232,-0.0,-0.13980905319992293
