start_time,close,datetime,high,low,open,volume
1641675600000,41779.18934109,2022-01-08 21:00:00,42062.6615085,40925.28906097,40974.80538733,7855.039651442794
1641679200000,41918.65905386,2022-01-08 22:00:00,42309.30617198,41742.58072095,41773.27863107,4788.464962794681
1641682800000,41684.14405185,2022-01-08 23:00:00,41953.47649845,41658.84159462,41922.73392263,2422.547964969963
1641686400000,41768.02044965,2022-01-09 00:00:00,41826.46601043,41389.73608156,41682.33340375,4165.591700045167
1641690000000,41808.21223646,2022-01-09 01:00:00,41919.55613063,41600.41344377,41770.85884287,2776.6046880120475
1641693600000,42110.87578202,2022-01-09 02:00:00,42175.01162755,41779.74220197,41811.48992417,3262.5383086966253
1641697200000,41843.91501386,2022-01-09 03:00:00,42112.53961897,41795.870366,42109.01822903,2187.0958177484567
1641700800000,42084.50992772,2022-01-09 04:00:00,42103.12925946,41803.30846591,41838.41589782,2009.4922162727669
1641704400000,41774.36113749,2022-01-09 05:00:00,42096.4863046,41720.78834888,42079.45413805,1948.2847089433424
1641708000000,41873.78871102,2022-01-09 06:00:00,41944.89237753,41685.09770021,41770.52623629,1692.6360558461893
1641711600000,41800.18243755,2022-01-09 07:00:00,41913.56223653,41780.60089135,41876.49401,1198.0665327496397
1641715200000,41674.10965924,2022-01-09 08:00:00,41946.72075157,41616.05293143,41798.20608659,2112.355223215817
1641718800000,41522.81552602,2022-01-09 09:00:00,41766.44623735,41472.21820195,41670.25106673,2163.549490697118
1641722400000,41647.42287673,2022-01-09 10:00:00,41728.52164453,41414.98907706,41523.46027218,2071.8090348764536
1641726000000,41866.2697274,2022-01-09 11:00:00,41989.50887075,41648.48186988,41649.78728225,2186.5451535449256
1641729600000,41756.11009717,2022-01-09 12:00:00,41926.02194891,41687.86544354,41869.43597077,1711.2323473227657
1641733200000,41478.20861158,2022-01-09 13:00:00,41899.26303697,41475.57094857,41755.53078524,2834.1026198389904
1641736800000,41540.97908515,2022-01-09 14:00:00,41743.46104894,41470.4595275,41474.53592311,1999.4594326761128
1641740400000,41625.70321574,2022-01-09 15:00:00,41688.83595292,41207.31504634,41548.05637747,3613.473229082628
1641744000000,42146.91112232,2022-01-09 16:00:00,42151.61740497,41576.60246604,41620.45793063,3646.020027591129
1641747600000,42096.50954778,2022-01-09 17:00:00,42208.34446622,41886.19626028,42148.65649316,3240.6099487406645
1641751200000,41974.53912465,2022-01-09 18:00:00,42281.2886904,41896.04400401,42094.04970757,3385.117425657311
1641754800000,42704.36376133,2022-01-09 19:00:00,42751.72497545,41936.19988905,41971.22523312,5407.64089487288
1641758400000,42449.59954386,2022-01-09 20:00:00,42805.96138134,42375.97525952,42707.20007425,3102.5126863585306
1641762000000,42310.22607342,2022-01-09 21:00:00,42549.85245379,42274.60544325,42441.94061126,1818.854610029284
1641765600000,42210.01627247,2022-01-09 22:00:00,42497.54658023,42088.153165,42305.55136022,2115.482555041842
1641769200000,41867.83473839,2022-01-09 23:00:00,42284.92963246,41771.5046269,42209.16648294,3771.5798478767215
1641772800000,41657.38788323,2022-01-10 00:00:00,42041.40030169,41624.92641725,41866.69917093,4163.0697572377485
1641776400000,41820.31935694,2022-01-10 01:00:00,41855.0255767,41601.0532409,41656.90123421,2121.903827893955
1641780000000,41936.66199503,2022-01-10 02:00:00,42004.90849742,41723.72695868,41819.54809904,2037.7466754414115
1641783600000,41976.71425827,2022-01-10 03:00:00,41995.38388694,41861.0139151,41935.64069254,1759.550792265688
1641787200000,42195.87265448,2022-01-10 04:00:00,42251.45804943,41937.27616206,41980.46736373,2659.579785380713
1641790800000,42032.82474581,2022-01-10 05:00:00,42229.97021376,41964.07691226,42188.09956103,1817.7099768810133
1641794400000,41929.0310165,2022-01-10 06:00:00,42050.45759739,41825.73178046,42035.03884344,2569.96761966841
1641798000000,42049.78605518,2022-01-10 07:00:00,42158.52556147,41907.50208398,41927.50550222,2293.535260694438
1641801600000,41821.39373027,2022-01-10 08:00:00,42118.23738473,41722.22123465,42046.3263636,2844.5901702350634
1641805200000,41805.64833863,2022-01-10 09:00:00,41938.59503082,41719.71886219,41816.20558112,2196.402417763936
1641808800000,41790.51858313,2022-01-10 10:00:00,41987.41888307,41745.5951424,41805.3602864,2253.4243463386274
1641812400000,41561.98716049,2022-01-10 11:00:00,41803.12426523,41454.56176832,41790.70763463,4957.893979954787
1641816000000,40936.02520984,2022-01-10 12:00:00,41614.76415623,40924.10199862,41561.14331763,7616.666140237789
1641819600000,40776.92082999,2022-01-10 13:00:00,41065.17267786,40722.74166574,40937.68771081,6791.334141527351
1641823200000,40793.9267494,2022-01-10 14:00:00,41272.68167119,39650.16228937,40772.64840159,34891.638230669014
1641826800000,40987.00533365,2022-01-10 15:00:00,41217.47941917,40560.45181252,40790.93330936,9493.294146544467
1641830400000,41910.48905102,2022-01-10 16:00:00,42015.8619431,40858.67905693,40985.95081646,14841.13257919388
1641834000000,41200.59410698,2022-01-10 17:00:00,42133.06869825,40565.10817941,41916.64662748,18333.184624039102
1641837600000,41618.1518357,2022-01-10 18:00:00,41733.61568747,41128.50276351,41199.15992055,6104.822036800381
