start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1641502800000,2022-01-06 21:00:00,0.49656645,0.98635945,129356887.88484,0.50343355,131145788.23675
1641506400000,2022-01-06 22:00:00,0.56234308,1.28489473,122118822.87185,0.43765692,95041889.18344
1641510000000,2022-01-06 23:00:00,0.46853482,0.8815908,86349541.64997,0.53146518,97947417.33269
1641513600000,2022-01-07 00:00:00,0.45975416,0.85100918,216155830.68778,0.54024584,253999412.11328
1641517200000,2022-01-07 01:00:00,0.52008041,1.08368239,159082097.80501,0.47991959,146797713.93341
1641520800000,2022-01-07 02:00:00,0.43721093,0.77686463,112858558.03089,0.56278907,145274419.26391
1641524400000,2022-01-07 03:00:00,0.44791955,0.81133023,896226178.50966,0.55208045,1104637972.60381
1641528000000,2022-01-07 04:00:00,0.47638411,0.9097969,906047074.16981,0.52361589,995878396.46924
1641531600000,2022-01-07 05:00:00,0.52147743,1.08976558,366502018.69892,0.47852257,336312713.62939
1641535200000,2022-01-07 06:00:00,0.50462745,1.01868272,293338041.20499,0.49537255,287958199.30395
1641538800000,2022-01-07 07:00:00,0.52188652,1.09155365,405285822.89854,0.47811348,371292628.71354
1641542400000,2022-01-07 08:00:00,0.52229263,1.09333176,685315295.73876,0.47770737,626813671.77968
1641546000000,2022-01-07 09:00:00,0.53381639,1.14507754,310986328.5671,0.46618361,271585388.10862
1641549600000,2022-01-07 10:00:00,0.5043563,1.01757834,194802451.34133,0.4956437,191437300.44608
1641553200000,2022-01-07 11:00:00,0.55601017,1.25230384,167195854.82765,0.44398983,133510614.30037
1641556800000,2022-01-07 12:00:00,0.55770426,1.26093067,192291586.04763,0.44229574,152499729.84757
1641560400000,2022-01-07 13:00:00,0.46531186,0.87024906,907345468.44778,0.53468814,1042627342.49142
1641564000000,2022-01-07 14:00:00,0.50624278,1.02528684,518203819.75342,0.49375722,505423262.10537
1641567600000,2022-01-07 15:00:00,0.46252744,0.8605601,941471019.09179,0.53747256,1094021227.99962
1641571200000,2022-01-07 16:00:00,0.53494866,1.15030022,997188501.66407,0.46505134,866894120.34321
1641574800000,2022-01-07 17:00:00,0.46859419,0.88180102,291631788.44185,0.53140581,330722897.4814
1641578400000,2022-01-07 18:00:00,0.45161901,0.82354971,180794244.70583,0.54838099,219530457.52001
1641582000000,2022-01-07 19:00:00,0.54319779,1.18913126,198240555.07673,0.45680221,166710406.37876
1641585600000,2022-01-07 20:00:00,0.54186259,1.18275124,218317584.53529,0.45813741,184584531.79045
1641589200000,2022-01-07 21:00:00,0.50652114,1.02642927,107174441.12107,0.49347886,104414833.52672
1641592800000,2022-01-07 22:00:00,0.46063043,0.85401636,168816355.60654,0.53936957,197673445.63553
1641596400000,2022-01-07 23:00:00,0.51305307,1.0536119,168427278.04496,0.48694693,159857039.1276
1641600000000,2022-01-08 00:00:00,0.56259012,1.2861852,290993807.17081,0.43740988,226245649.88492
1641603600000,2022-01-08 01:00:00,0.48602431,0.9456173,187284506.6116,0.51397569,198055287.25504
1641607200000,2022-01-08 02:00:00,0.5512773,1.22854783,125568657.08901,0.4487227,102209009.77291
1641610800000,2022-01-08 03:00:00,0.50675721,1.02739912,119769337.62153,0.49324279,116575277.86133
1641614400000,2022-01-08 04:00:00,0.51545441,1.06378928,94180692.99472,0.48454559,88533222.07467
1641618000000,2022-01-08 05:00:00,0.50977262,1.03986976,69909450.0107,0.49022738,67229044.09795
1641621600000,2022-01-08 06:00:00,0.46611695,0.87306941,94393709.39216,0.53388305,108117073.41818
1641625200000,2022-01-08 07:00:00,0.505447,1.02202796,88785440.36017,0.494553,86871831.32012
1641628800000,2022-01-08 08:00:00,0.50625427,1.02533397,221494614.14248,0.49374573,216021920.77375
1641632400000,2022-01-08 09:00:00,0.55363521,1.2403201,149542170.01708,0.44636479,120567400.61484
1641636000000,2022-01-08 10:00:00,0.45090097,0.82116512,149756701.93629,0.54909903,182370996.62349
1641639600000,2022-01-08 11:00:00,0.5413042,1.1800941,173484374.5736,0.4586958,147008933.01787
1641643200000,2022-01-08 12:00:00,0.49842575,0.99372276,151678069.96112,0.50157425,152636203.85187
1641646800000,2022-01-08 13:00:00,0.50545125,1.02204534,233327308.29655,0.49454875,228294479.78808
1641650400000,2022-01-08 14:00:00,0.4965624,0.98634351,134419058.24102,0.5034376,136280166.94537
1641654000000,2022-01-08 15:00:00,0.48348,0.93603346,292445745.20643,0.51652,312430866.53224003
1641657600000,2022-01-08 16:00:00,0.45916598,0.84899611,285600201.45437,0.54083402,336397539.88848
1641661200000,2022-01-08 17:00:00,0.47251157,0.89577619,526876751.84555,0.52748843,588179008.5811399
1641664800000,2022-01-08 18:00:00,0.48925306,0.95791679,683406747.81448,0.51074694,713430181.90279
1641668400000,2022-01-08 19:00:00,0.5175563,1.07278073,483124304.23444,0.4824437,450347672.41865
1641672000000,2022-01-08 20:00:00,0.52149606,1.08984695,250007487.57705,0.47850394,229396878.13758
1641675600000,2022-01-08 21:00:00,0.55233175,1.23379701,552317543.10819,0.44766825,447656735.13523
1641679200000,2022-01-08 22:00:00,0.50330049,1.01328967,364840728.58945,0.49669951,360055707.0894
1641682800000,2022-01-08 23:00:00,0.49153952,0.96672118,153932784.86815,0.50846048,159231831.671
1641686400000,2022-01-09 00:00:00,0.49645316,0.98591257,275569569.80436,0.50354684,279507107.9549
1641690000000,2022-01-09 01:00:00,0.50914951,1.03728023,154482893.35816,0.49085049,148930721.12353
1641693600000,2022-01-09 02:00:00,0.52601949,1.10979137,196139076.95941,0.47398051,176735089.03023
1641697200000,2022-01-09 03:00:00,0.48356306,0.93634483,134497563.59972,0.51643694,143641059.4436
1641700800000,2022-01-09 04:00:00,0.48484232,0.94115323,106511325.06921,0.51515768,113171077.64885
1641704400000,2022-01-09 05:00:00,0.48220634,0.93127122,134240009.83965,0.51779366,144147062.26132
1641708000000,2022-01-09 06:00:00,0.46813528,0.88017734,122452486.94432,0.53186472,139122517.30293
1641711600000,2022-01-09 07:00:00,0.53848495,1.16677657,85486773.28117,0.46151505,73267475.38914
1641715200000,2022-01-09 08:00:00,0.50591033,1.02392413,162826784.33056,0.49408967,159022313.1977
1641718800000,2022-01-09 09:00:00,0.46734821,0.87739913,170020903.73414,0.53265179,193778291.48415
1641722400000,2022-01-09 10:00:00,0.51440662,1.05933613,176985669.91731,0.48559338,167072248.49876
1641726000000,2022-01-09 11:00:00,0.5600196,1.2728285,234807889.11458,0.4399804,184477240.74572
1641729600000,2022-01-09 12:00:00,0.4657866,0.8719111,123810944.31378,0.5342134,141999504.51877
1641733200000,2022-01-09 13:00:00,0.45582852,0.83765602,202924070.40279,0.54417148,242252267.79486
1641736800000,2022-01-09 14:00:00,0.52390031,1.10040046,155078627.74898,0.47609969,140929264.89323
1641740400000,2022-01-09 15:00:00,0.5172686,1.0715454,342962868.06552,0.4827314,320063777.60847
1641744000000,2022-01-09 16:00:00,0.5801864,1.38200956,319519537.39084,0.4198136,231199224.07206
1641747600000,2022-01-09 17:00:00,0.48554349,0.9437989,271516099.57945,0.51445651,287684271.37566
1641751200000,2022-01-09 18:00:00,0.49868686,0.9947612,200962491.15004,0.50131314,202020838.8572
1641754800000,2022-01-09 19:00:00,0.57560485,1.35629461,438769277.98628,0.42439515,323505877.31224
